,fecha,codigoMoneda,descripcion,tipoPase,tipoCotizacion
0,2025-04-16,ARS,PESO,0.000881,0.0
1,2025-04-16,AUD,DOLAR AUSTRALIA,0.6362,722.087
2,2025-04-16,AWG,FLORIN (ANTILLAS HOLANDESAS),0.558659,634.078212
3,2025-04-16,BOB,BOLIVIANOS,0.145159,164.755407
4,2025-04-16,BRL,REAL,0.170413,193.418653
5,2025-04-16,CAD,DOLAR CANADIEN.,0.719683,816.84059
6,2025-04-16,CHF,FRANCO SUIZO,1.226392,1391.954869
7,2025-04-16,CLP,PESO CHILENO,0.001031,1.169633
8,2025-04-16,CNH,YUAN CNH RENMINBI OFF SHORE,0.136919,155.402815
9,2025-04-16,CNY,YUAN CNY RENMINBI,0.136996,155.490102
10,2025-04-16,COP,COLOMBIANOS,0.000232,0.2636
11,2025-04-16,CZK,CORONAS CHECAS,0.045475,51.61437
12,2025-04-16,DKK,CORONAS DANESAS,0.152325,172.889153
13,2025-04-16,EUR,EURO,1.1375,1291.0625
14,2025-04-16,GBP,LIBRA ESTERLINA,1.3218,1500.243
15,2025-04-16,HKD,DOLAR HONG KONG,0.128864,146.261002
16,2025-04-16,ILS,LIBRA ISRAELI,0.271098,307.696478
17,2025-04-16,INR,RUPIA (INDIA),0.011671,13.246192
18,2025-04-16,JPY,YENS,0.007023,7.971065
19,2025-04-16,MXP,PESO MEXICANO,0.050005,56.755676
20,2025-04-16,NIO,CORDOBA NICARAGUENSE,0.02717,30.837447
21,2025-04-16,NOK,CORONAS NORUEGA,0.094387,107.129036
22,2025-04-16,NZD,DOLAR NEOZELANDES,0.5914,671.239
23,2025-04-16,PEN,SOLES,0.267917,304.085733
24,2025-04-16,PYG,GUARANIES,0.000125,0.141746
25,2025-04-16,REF,DOLAR REFERENCIA COM 3500,0.0,1172.8333
26,2025-04-16,RSD,DINAR SERBIA,0.009702,11.011464
27,2025-04-16,RUB,RUSIA,0.012046,13.672294
28,2025-04-16,SEK,CORONAS SUECAS,0.102219,116.018767
29,2025-04-16,SGD,DOLAR DE SINGAPUR,0.762079,864.95961
30,2025-04-16,TRY,LIRA TURCA,0.02623,29.771195
31,2025-04-16,USD,DOLAR E.E.U.U.,0.0,1135.0
32,2025-04-16,UYU,PESO URUGUAYO,0.023643,26.835323
33,2025-04-16,VEB,BOLIVARES,0.01255266,14.24726729
34,2025-04-16,VND,DONG VIETNAM (C/1.000 UNIDADES),0.038694,43.91735
35,2025-04-16,XAG,PLATA - ONZA TROY,32.8033,0.0
36,2025-04-16,XAU,ORO FINO (1 ONZA),3327.38,0.0
37,2025-04-16,XDR,DEG,1.35473,1537.61855
38,2025-04-16,ZAR,RAND SUD,0.053057,60.219869
0,2025-04-15,ARS,PESO,0.000833,0.0
1,2025-04-15,AUD,DOLAR AUSTRALIA,0.635,762.0
2,2025-04-15,AWG,FLORIN (ANTILLAS HOLANDESAS),0.558659,670.391061
3,2025-04-15,BOB,BOLIVIANOS,0.145054,174.064404
